"","responses","responses_clean_names"
"1","suspended_sediment_load_pounds","SS load (pounds)"
"2","chloride_load_pounds","Chloride load (pounds)"
"3","no2_no3_n_load_pounds","NO2 + NO3 load (pounds)"
"4","ammonium_n_load_pounds","Ammonium load (pounds)"
"5","tkn_unfiltered_load_pounds","TKN load (pounds)"
"6","orthophosphate_load_pounds","Orthophosphate load (pounds)"
"7","total_phosphorus_unfiltered_load_pounds","TP load (pounds)"
"8","total_nitrogen_computed_load_pounds","TN load (pounds)"
"9","organic_nitrogen_computed_load_pounds","Org N load (pounds)"
"10","peak_discharge","Peak discharge (cfs)"
